"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"222","Cafés et restos kids friendly",,,,"5","1","1","73","2015-06-18 13:05:32","2016-02-02 09:45:43","Anne-Cecile Bechu"
"223","Hébergements insolites",,,,"5","2","1","73","2015-06-18 13:05:50","2016-02-02 09:45:43","Anne-Cecile Bechu"
"224","Assos d&#39;aide aux parents",,,,"5","3","1","73","2015-06-18 13:06:06","2016-02-02 09:45:43","Anne-Cecile Bechu"
"225","Dehors",,,,"6","0","1","73","2015-06-18 13:30:13","2016-02-02 09:45:43","Anne-Cecile Bechu"
"226","Dedans",,,,"6","1","1","73","2015-06-18 13:30:23","2016-02-02 09:45:43","Anne-Cecile Bechu"
"227","Boutiques sympas",,,,"5","0","1","45","2015-06-18 13:32:58","2016-02-02 09:45:43","Anne-Cecile Bechu"
"228","Cafés et restos kids friendly",,,,"5","1","1","45","2015-06-18 13:33:09","2016-02-02 09:45:43","Anne-Cecile Bechu"
"229","Hébergements insolites",,,,"5","2","1","45","2015-06-18 13:33:22","2016-02-02 09:45:43","Anne-Cecile Bechu"
"230","Assos d&#39;aide aux parents",,,,"5","3","1","45","2015-06-18 13:33:29","2016-02-02 09:45:43","Anne-Cecile Bechu"
"231","Dehors",,,,"6","0","1","45","2015-06-18 13:33:56","2016-02-02 09:45:43","Anne-Cecile Bechu"
"232","Dedans",,,,"6","1","1","45","2015-06-18 13:34:01","2016-02-02 09:45:43","Anne-Cecile Bechu"
"233","Boutiques sympas",,,,"5","0","1","50","2015-06-18 13:42:55","2016-02-02 09:45:43","Anne-Cecile Bechu"
"234","Cafés et restos kids friendly",,,,"5","1","1","50","2015-06-18 13:43:04","2016-02-02 09:45:43","Anne-Cecile Bechu"
"235","Hébergements insolites",,,,"5","2","1","50","2015-06-18 13:43:14","2016-02-02 09:45:43","Anne-Cecile Bechu"
"236","Assos d&#39;aide aux parents",,,,"5","3","1","50","2015-06-18 13:43:22","2016-02-02 09:45:43","Anne-Cecile Bechu"
"237","Dehors",,,,"6","0","1","50","2015-06-18 13:43:43","2016-02-02 09:45:43","Anne-Cecile Bechu"
"238","Dedans",,,,"6","1","1","50","2015-06-18 13:43:49","2016-02-02 09:45:43","Anne-Cecile Bechu"
"239","Assos d&#39;aide aux parents",,,,"5","3","1","30","2015-06-18 13:45:36","2016-02-02 09:45:43","Anne-Cecile Bechu"
"240","Dehors",,,,"6","0","1","30","2015-06-18 13:45:51","2016-02-02 09:45:43","Anne-Cecile Bechu"
"241","Dedans",,,,"6","1","1","30","2015-06-18 13:45:57","2016-02-02 09:45:43","Anne-Cecile Bechu"
"242","Breizh attitude",,,,"2","3","1","30","2015-06-19 08:58:24","2016-02-02 09:45:43","Responsable 29"
